Longitude,Latitude,llsgrd,SILO_Jan,SILO_Feb,SILO_Mar,SILO_Apr,SILO_May,SILO_June,SILO_July,SILO_Aug,SILO_Sep,SILO_Oct,SILO_Nov,SILO_Dec
141.0045851,-32.6649161,8,31.9,69.8,112.9,19.8,27.9,20.6,14.5,14.3,20.3,55.4,25.6,44.7
141.009599,-30.3115441,8,73.4,55.3,14.9,15.2,25.2,17.7,13.9,10.1,13.5,25.2,13.8,55.2
141.010756,-32.9810194,8,35.1,115.3,98.1,15.4,28.7,18.9,15.5,15,23.4,57.3,26.5,57.8
141.0146129,-32.8823084,8,35,105.5,109,16.3,31.1,22.8,17.3,16,24.5,62.7,27.8,59.1
141.0188554,-30.7742874,8,35.6,59.2,29.8,11.9,17.8,16.5,13.5,10,11.4,20.4,13.3,46.5
141.0215552,-33.1125389,8,39.4,133.1,97.8,16.6,30.6,19.7,17,16.3,27,57.8,30.8,62.6
141.0238694,-32.6840306,8,34.8,80.6,126.4,20.4,32.4,25.4,17.5,16.3,23.7,63.1,29,50.8
141.0261835,-30.9060922,8,36.5,59.1,38,12.4,16.8,16.9,14,10,11.8,21,14.7,49.9
141.0315831,-32.217008,8,29.2,50.6,65.5,17.3,19.9,16.1,12.4,13,16,37.9,24.9,36
141.0335115,-33.9450203,8,68.2,50.9,38.2,14.5,23.7,16.7,14.9,12.6,26.3,38.2,27.3,72.7
141.0346686,-30.7197967,8,37.6,57.7,27.5,12.1,18.4,17.8,13.9,10,11.7,20,13.2,45.5
141.0346686,-33.8662798,8,73,54.4,45.8,14.2,24.3,16.5,15,12.4,26.5,37.3,26.5,76.1
141.0408395,-30.5657391,8,44.7,56.9,21.5,12.9,20.5,18.9,14.1,10,12.3,20.6,12.9,46.3
141.0435393,-30.8187929,8,36.8,59.2,33.6,12.4,18,18.3,14.5,10,11.8,20.8,14.1,48
141.0443107,-32.2207168,8,29.2,50.6,65.5,17.3,19.9,16.1,12.4,13,16,37.9,24.9,36
141.0497103,-31.0053738,8,38.5,60.5,44.4,12.7,16.6,17,14.4,10,12.4,22.9,16,53.3
141.0520244,-33.8006627,8,74.5,56.4,50.7,14.3,24.9,16.7,15.3,12.6,26.8,37.2,26.3,77
141.0601238,-29.369796,8,70.3,69.7,44.5,16.2,22.7,15.9,22.3,10.6,23.1,26.4,18.7,60.8
141.0643664,-30.564598,8,44.7,56.9,21.5,12.9,20.5,18.9,14.1,10,12.3,20.6,12.9,46.3
141.0643664,-32.7582065,8,37.3,88.7,136.2,20.5,35.6,30.6,20.4,18.3,27.2,66.7,31.2,58.5
141.0643664,-32.0198714,8,28,48,54.4,15.7,18.3,14.5,11.9,12.3,14.7,34.3,23.6,33.2
141.0678376,-31.1762635,8,41.9,59.7,51,13.2,15.9,14.9,13.4,10.3,13.7,25.7,17.7,54
141.0732372,-33.9532938,8,68.2,50.9,38.2,14.5,23.7,16.7,14.9,12.6,26.3,38.2,27.3,72.7
141.0751656,-29.394331,8,74.2,69.1,39.8,17,21.9,15.1,21.1,10.8,23.3,27.5,17.6,59
141.0774797,-31.1460226,8,49.1,63.5,51.8,13.5,16.3,16.2,14.2,10.5,14,25.5,18.8,57.3
141.0786368,-30.049361,8,118.9,59.4,14.6,27,26.2,15,14.9,12.3,17.5,32.7,17.9,72.8
141.0797938,-31.6849388,8,32.2,49.8,49.6,14.9,17.8,14.4,13,11.5,15,30.6,22.2,37.3
141.0840364,-32.3083014,8,31.4,55.5,75.9,20.3,21.8,17.7,13.4,13.9,17.2,41.1,26.2,39.3
141.0882789,-33.8714151,8,71.7,55,45.4,14.3,23.8,16.3,14.7,12.3,25.4,36,25.6,73.4
141.0902073,-31.2946596,8,50.9,62.1,55.9,14.4,17.2,15.7,14.3,11.1,15.5,28.6,20.8,56.2
141.0921358,-30.6975439,8,38.7,56.2,27.5,12.5,18.4,18.7,14.3,10,12,19.5,13.4,44.6
141.0925215,-33.2257997,8,39.5,95.1,77.8,15,25.1,16.5,15.2,13.5,23.3,45.2,25.5,55.8
141.0925215,-30.7255025,8,37.9,56.6,30,12.4,17.9,18.4,14.3,10,11.9,19.6,13.7,45.4
141.0936785,-33.473433,8,47.8,63.4,64.8,14.1,22.9,14.5,13.9,12,21.7,37,23,58
141.0956069,-33.876265,8,71.2,54.4,42.4,14.6,24,16.8,14.9,12.5,26.2,37.4,26.6,74.1
141.1006209,-33.0372219,8,37.3,108.7,99.6,15.4,27.9,19,15.9,15,23.7,57.8,25.9,59
141.104092,-30.2199655,8,112.5,55.4,14.2,23.3,27.2,16.1,14.4,11.5,15.7,30.8,17.1,64.4
141.1052491,-31.404497,8,47.9,58.8,55.2,14.8,17.6,15.2,14.1,11.2,16,29.6,21.3,52.2
141.1067918,-33.8383212,8,71.7,55,45.4,14.3,23.8,16.3,14.7,12.3,25.4,36,25.6,73.4
141.1079489,-30.4396402,8,58.1,53.5,17.7,15,22.1,18.8,14.1,10,13.1,22,13.4,47.1
141.1121914,-33.9521526,8,69.5,52.9,38.3,14.7,23.7,16.8,14.9,12.6,26.4,38.1,27.1,73
141.1125771,-29.317017,8,68.2,70.1,51.4,16.5,22.3,16,23.6,10.7,23.6,25.7,19.2,60.6
141.1129628,-32.5468053,8,32.6,61.6,105.3,22,26,20.5,14,15.1,19.9,49.9,25.4,42.8
141.122605,-33.2474819,8,39.5,95.1,77.8,15,25.1,16.5,15.2,13.5,23.3,45.2,25.5,55.8
141.1253048,-33.7495955,8,67.4,57.8,49.8,14,22.7,15.1,13.9,11.7,23.2,34.2,23.3,69.2
141.1256905,-30.0373787,8,115.5,60,15.1,29,25.4,15.2,15.3,12.5,18.3,32.1,18.2,74.7
141.1264618,-30.4701664,8,63.2,52.3,17.5,16.8,22.3,19.3,14.3,10.2,13.6,22.5,14.1,46.7
141.1268475,-32.0886267,8,29.2,48.6,53.8,16,18.3,14.9,12.1,12.7,14.5,32.9,23.7,34.5
141.1303187,-29.2017591,8,65.2,69.2,61.6,16.6,21.2,16,24.9,10.6,23.3,24.2,20,61
141.137261,-29.0009137,8,65.8,67.5,75.8,16.9,19.1,16.7,27,10.5,22.4,23.5,20.8,64.3
141.1523028,-32.4908881,8,33.3,58.2,96.1,22.3,24.9,19.7,13.7,15.2,19.1,46.8,25.8,42
141.1577024,-30.2402212,8,110.9,55.8,15.3,26.4,27.3,18,15.3,11.5,16.3,31.4,18.1,63.1
141.1638734,-31.2410248,8,61.8,69,59.3,15,18,17.2,15.6,11.6,16.2,29.4,22.7,62.1
141.1650304,-32.8061355,8,34.6,78.2,129.2,18.4,30.4,24.7,16.7,15.9,23.8,60,26.1,55.7
141.1669589,-29.0939188,8,64.6,67.3,68.1,16.3,19.9,16,25.7,10.4,22.4,23.3,20.1,62.1
141.169273,-32.6007254,8,32.1,61.1,109.1,20.8,25.8,20.4,13.7,14.8,19.5,49,24.5,43.4
141.17043,-31.9659512,8,29.1,48.3,48.3,15,17.5,14.2,12.1,12.3,13.9,30.9,22.6,33.4
141.1719728,-32.2381196,8,30.9,53.2,67.2,19,20.7,17.1,13.3,13.7,16.2,38,26.2,38.2
141.1758296,-30.3771613,8,83.1,51.9,16,21.6,23.4,19,14.6,10.7,14.7,25.4,16.1,49.9
141.1785294,-31.3003655,8,70.1,72.1,61.6,15.6,18.6,17.1,16.3,12,16.9,30.7,24.6,64
141.1816149,-31.4518554,8,60.7,65.2,58.1,15.9,18.4,16.3,15.8,12,17.1,31.4,23.8,57
141.1835433,-29.291626,8,66.9,70.6,52.6,17.2,21.2,15.1,23,10.6,24.1,25.5,18.9,57.6
141.183929,-30.383723,8,83.1,51.9,16,21.6,23.4,19,14.6,10.7,14.7,25.4,16.1,49.9
141.1850861,-29.8858888,8,111.2,63.9,17.6,29.3,23.7,14.9,17,13.2,21.2,31.8,18.4,88.2
141.1881716,-30.9117981,8,48.3,59.4,41.2,13.2,17.1,20.2,15.8,10.3,13.2,20.8,17.2,51.6
141.1920284,-33.1285152,8,39.3,90.3,89.6,15.7,26.9,19.1,16.3,14.3,23.6,52.7,25.4,59.4
141.2043704,-33.8069391,8,69.5,60.1,47.2,14.6,23.2,15.7,14.2,12.1,24.4,35.6,24.4,71.8
141.2082272,-32.5687728,8,32.6,57.6,99.6,21.1,25,20.2,13.7,15.2,19.1,46.9,25.2,42.7
141.2086129,-32.2595165,8,31.4,53.2,64.9,18.8,20.9,17.7,13.8,14.1,16.2,37.9,27.2,39.2
141.215941,-31.6826565,8,39.3,54.4,49.6,15.3,17.9,15.4,14,12.1,15.2,30.4,22.4,41.2
141.2178694,-32.17992,8,30.2,50.6,58.5,17.5,19.6,16.2,13,13.4,15.2,34.3,25.4,37.2
141.2182551,-30.5563245,8,51.6,52.5,21,16.2,20.7,21.7,15.1,10.1,13.5,20.8,14,44
141.2236547,-30.9018128,8,48.3,59.4,41.2,13.2,17.1,20.2,15.8,10.3,13.2,20.8,17.2,51.6
141.2263545,-30.6436238,8,43.9,50.7,23.8,14.5,17.7,20.2,14.6,10,12.9,18,13.7,41.4
141.2309827,-30.2721739,8,104,54.4,14.5,30.2,24,17,14.7,11.9,16.9,28.5,17.8,60.6
141.2340682,-30.8293487,8,47,56.4,37.6,13.3,16.8,20.4,16,10.4,13.3,19.5,16.9,48.7
141.2359966,-30.0245406,8,106.2,61.7,16.7,30.7,23.4,15.5,16.4,12.8,20.6,29.9,18.3,86.8
141.2375394,-29.6890375,8,101.1,67.9,23.8,27.9,22,15.2,19.7,14.6,24.9,32.1,18.2,90
141.2402392,-30.9874004,8,70.8,71,52.7,14.1,17.4,19.1,16.5,11.2,14.7,24.1,22.1,62.3
141.244096,-30.9611535,8,60.5,64.7,46.6,13.7,16.8,19.4,16.2,10.8,14,22,19.9,56.4
141.2475672,-29.2242971,8,63.8,71.6,64.4,17.9,21,15.5,24.9,10.6,24.1,24.6,20.3,58.9
141.2618376,-31.1266228,8,83.5,81.3,65.4,15.6,19.5,19.1,17.8,12.4,17,29.8,26.7,71.1
141.262609,-30.7232202,8,42.7,51.9,27.3,14.1,17.7,21.2,15.4,10.1,13,18.3,14.5,43
141.2633803,-32.9861546,8,37.6,82,105.4,16.6,28.2,20.7,16.2,14.8,23.5,58.2,23.7,62.8
141.2645374,-29.3820635,8,72.1,69.6,40.9,18.7,20.2,14.2,20.7,11.1,24.5,26.8,17.1,57
141.2714797,-32.1693643,8,29.9,48.6,51.4,16.4,18.8,15.6,12.8,13.2,14.4,31.3,24.5,36.6
141.2714797,-33.4252187,8,46.6,61.9,61.1,14,22,13.9,13.3,11.5,20.2,36.5,21,56.9
141.2815076,-33.8149273,8,66.2,62.8,44.3,14.7,22.2,15.2,13.7,11.9,23.6,35.6,24,69.6
141.2815076,-33.3841367,8,44,62.2,62.2,14.2,22.1,14.1,13.3,11.6,19.9,37.4,20.5,56.4
141.2830503,-31.1086494,8,91.6,84.4,65.6,15.4,19.5,19,18,12.5,17,28.5,27.4,72.1
141.2865215,-33.2979786,8,40,63.1,66.4,14.2,22.5,14.3,13.3,11.7,19.6,39.4,20.2,54.6
141.2984778,-31.8361434,8,34.3,51.3,42.2,14.6,16.9,14.5,13.2,12.4,13.7,27.9,21.2,37.4
141.2988634,-33.0272367,8,40.8,84,106,17.6,30.5,22.8,17.8,15.8,25.6,60.4,25.6,67.1
141.3004062,-33.7972392,8,66.2,62.8,44.3,14.7,22.2,15.2,13.7,11.9,23.6,35.6,24,69.6
141.3011776,-32.079212,8,29.6,46.6,44.9,15.3,17.9,14.8,12.6,13,13.8,29.2,23.3,35.7
141.3115911,-32.4358268,8,32,49.5,73.3,19.4,22.8,18.9,13.7,15,17.4,42.8,26.8,42.2
141.3216189,-33.693393,8,60.3,62.9,48.7,14.2,21.5,14.1,13.3,11.4,21.7,34.6,22,65.6
141.3231617,-30.6630236,8,46.2,50.5,24.7,16.2,17.7,21.9,15.6,10.4,13.5,18.6,14.9,42.3
141.3247044,-32.498591,8,31.8,50,80.7,19.4,23.3,19.2,13.6,14.9,17.9,43.3,25.4,42.6
141.3297183,-29.578059,8,86.2,70.1,30.8,27.2,20.6,15.7,21.6,15.2,27.6,30.6,18.5,82.5
141.3320324,-31.8215936,8,38.3,53.3,41.9,14.8,17.1,15.1,14,12.5,14,27.8,21.2,40.8
141.3324181,-33.615223,8,53.2,61.7,52.6,14.2,21.4,14,13.3,11.4,20.6,35.1,20.9,62
141.3385891,-29.1384243,8,62,74.3,70.7,19.4,20.7,15.3,25.4,10.6,24.3,24.3,22,58.6
